MOFname,volume [A^3],weight [u],surface_area [m^2/g],void_fraction,void_volume [cm^3/g],functional_groups,metal_linker,organic_linker1,organic_linker2,topology,CO2/N2_selectivity,heat_adsorption_CO2_P0.15bar_T298K [kcal/mol]
mof_unit_pretest_1,6288.293858,2271.68714,4148.48,0.41225,0.6872,OPr,4,7,27,acs,14.04879074,5.604779
mof_unit_pretest_2,1790.506437,887.74732,2191.34,0.3023099999999999,0.3672,HCO-OPr,2,4,26,pcu,20.21722169,6.148776
mof_unit_pretest_3,2348.969203,1239.7658800000002,2030.88,0.28533,0.3256,SO3H-OH,3,18,22,pcu,33.10866151,6.164397
mof_unit_pretest_4,2941.571525,1147.9514,3587.13,0.41963,0.6475,Et-OH,2,8,15,pcu,12.80056168,5.164957
mof_unit_pretest_5,705.397601,643.27074,0.0,0.0706,0.0466,Cl-H,3,10,22,pcu,23.39561652,7.090687
mof_unit_pretest_6,2795.376504,1592.74518,1480.38,0.20913,0.221,OEt-COOH,9,10,28,sra,49.25180982,7.334542999999999
mof_unit_pretest_7,1493.202771,895.9242800000001,1769.29,0.28863,0.2897,Cl-H,3,1,18,pcu,18.48760329,5.671204
mof_unit_pretest_8,4288.4052950000005,1848.99596,2734.28,0.38902,0.5434,CN-NH2,3,16,16,pcu,13.97259895,5.274335
mof_unit_pretest_9,6880.322139,2356.7782260000004,3985.18,0.43976,0.7731,CN-F,4,3,27,acs,10.29489266,5.064876
mof_unit_pretest_10,1750.548457,1027.715,1426.86,0.2068199999999999,0.2121,H-OH,2,10,29,pcu,72.74346069,7.425464
mof_unit_pretest_11,4158.54216,1987.45176,2213.81,0.28601,0.3604,Pr-NHMe,4,6,17,acs,35.17498629,6.726739
mof_unit_pretest_12,7354.202104000001,3502.94744,1770.07,0.2340199999999999,0.2959,OPr-OH,4,27,27,acs,32.90207562,6.600984
mof_unit_pretest_13,5067.83424,2694.70244,0.0,0.24333,0.2756,OMe-Et,3,9,9,nbo,14.18270662,5.996164
mof_unit_pretest_14,3930.439874,2941.622173,645.62,0.13293,0.107,H-F,4,4,11,acs,64.13190702,7.544046000000001
mof_unit_pretest_15,2004.557069,1695.0737800000002,0.0,0.0748,0.0533,HCO,4,14,22,acs,165.80064319999997,8.819875
mof_unit_pretest_16,1043.078308,587.97836,1774.18,0.2609599999999999,0.2788,Cl,3,10,23,pcu,13.89850112,5.212527
mof_unit_pretest_17,1148.410429,580.49356,2536.87,0.30959,0.3688,NH2-Me,2,11,14,pcu,11.39964462,4.847198000000001
mof_unit_pretest_18,3756.862488,1165.90236,3712.31,0.4831399999999999,0.9375,Pr-HCO,3,18,26,pcu,11.00255867,5.209406
mof_unit_pretest_19,2873.520984,1107.9749800000002,3478.72,0.4154199999999999,0.6488,Et-HCO,2,4,29,pcu,14.22726006,4.948911
mof_unit_pretest_20,1821.909507,1283.711,1247.59,0.21677,0.1853,SO3H-OH,3,4,7,pcu,32.82573611,6.621175
mof_unit_pretest_21,2492.1623050000003,1059.35664,3114.67,0.4329199999999999,0.6133,NO2,3,1,28,pcu,8.36419162,4.905192
mof_unit_pretest_22,1347.684216,784.7154400000001,1291.07,0.20065,0.2075,OEt-NH2,2,4,13,pcu,31.52642488,6.377837
mof_unit_pretest_23,2264.969206,1495.88506,457.88,0.12567,0.1146,NO2-OPr,9,2,2,sra,33.87359855,6.402529
mof_unit_pretest_24,1212.656776,621.5006599999999,2353.16,0.30135,0.3541,Me,2,14,19,pcu,17.45588102,5.835593
mof_unit_pretest_25,3993.131734000001,3266.17824,0.0,0.0738,0.0543,SO3H-Pr,4,1,11,acs,40.83383262,8.105341000000001
mof_unit_pretest_26,2432.756583,1799.63768,1032.36,0.20059,0.1633,Br,9,18,19,sra,47.83305961,6.679682000000001
mof_unit_pretest_27,1638.493106,978.31388,1497.16,0.25654,0.2587,H,9,4,11,sra,13.02054117,5.577853
